description,time,author,title
"发信人: froglou (大青蛙~~New begining), 信区: Intern , 标  题: 【实习】Intel Technical Engineer Intern , 发信站: 水木社区 (Fri Jul 29 16:43:39 2016), 站内 ,  , Job Title: Technical Engineer Intern , Location : Beijing , Job Type : Intern ,  , Descriptions： ,  , In this role you are responsible to provide support to Intel Health Strategy and Solution team to do software design and development on data analysis for Healthcare. As you prepare yourself for the future, this internship will train you in the ability to make high level design choices for the software structure, frameworks, protocols, algorithms and standards.  ,  , Your deliverables at the end of the internship could include solution blueprints, reference architectures, prototypes, case studies or white papers.  , We would love to have you for an extended amount of time even up to 1 year (3 months minimum), giving you the chance to ramp up, learn and deliver great results. ,  , Qualifications:  ,  , - Master's or PhD candidate in Computer science or related major. , - Experience in algorithm optimization, data structures, data, vector and task parallelization techniques. , - Data analytics experience along with statistical and algorithm development. , - Comfortable with Linux/Unix, scripting languages (python, perl), programming languages (C/C++, Java) and multithreaded programming. , - Knowledge of industry standards, research workflows, privacy/security, data sharing, data management/integration and coding / vocabularies. , - Experience with big data solution/software, i.e. Spark, Hadoop is a plus. , - Experience with RDBMS, i.e. Oracle, SQL Server, DB2 is a plus. , - Excellent communication skills essential. , - Fluent in technical Mandarin and English is a must. ,  , Duration: 3 month+, 3 days+ a week, expected to be on board from Aug 2016 , Please send your resume to the following email address if you are interested: Ming.lou@intel.com , -- ,  , ",1469781819,"发信人: froglou (大青蛙~~New begining), 信区: Intern ", 标  题: 【实习】Intel Technical Engineer Intern 
"发信人: Knowbox09 (作业盒子), 信区: Intern , 标  题: 【实习】【作业盒子】产品实习生 , 发信站: 水木社区 (Fri May 12 19:01:44 2017), 站内 ,  ,     , ,  ,     下午茶,交通补贴,产品大牛 ,  ,  ,     , ,  ,     工作职责 ,     1.负责数据分析，能够通过数据监测业务目标的实现情况；能迅速从众多数据中发现问题，为高效的优化提供数据支持； ,     2.负责需求分析，包括收集用户/客户需求、进行市场和竞争分析等； ,     3.负责具体功能的设计，不断优化产品体验，有良好的逻辑性和产品敏感度，能够制作产品原型、撰写高质量的需求文档； ,     4.负责项目管理，在项目进行中协调/推动研发团队按时完成产品开发、高质量上线。 ,  ,     职位要求 ,     1.统招一本及以上学历，理工类优先； ,     2.出色的逻辑思维能力、问题分析与解决能力； ,     3.热爱互联网，热爱互联网产品设计； ,     4.出色的设计能力、对功能架构/交互/视觉有一定理解； ,     5.有较强的学习、沟通能力、组织协调能力，及一定的项目管理能力； ,     6.有互联网产品设计经验者优先，有数据分析经验者优先； ,     7.有互联网行业相关实习或项目经验者优先，熟悉Axure RP、Photoshop、EXCEL等工具者优先； ,     8.连续实习3个月以上者优先，每周至少3天。 ,  ,  ,     , ,  ,     北京市朝阳区望京SOHO T3 43层 4301 ,  ,  ,    , ,  ,     pangyc@knowbox.cn ,  ,  ,     , ,  , 作业盒子成立于2014年，2016年10月完成近亿元人民币B轮融资，估值一亿美金，天使投资方为联想之星，A轮投资方为好未来、刘强东夫妇。 ,  ,  , , ,  , 作业盒子（小学）、作业盒子（中学）、单词部落 ,  ,  , , ,  , , ,  ,  , , ,  , CEO 连续创业者刘夜、COO前百度战略合作总经理王克和CMO英特尔教育中国区负责人贾晓明 ,  ,  , , ,  , 作业盒子通过把现实的班级关系和老师布置作业的场景搬到线上，利用强关系作业场景和游戏化的产品体验激发学生的学习兴趣和主动性，获得高质量高密度的学习数据，从而能够为学生提供个性化学习方案。以小学速算切入，已覆盖小学数学和初高中绝大多数科目。 ,  ,  , , ,  , 目前产品已经覆盖30多个省份的11000个k12公立校的近千万名师生，注册用户1300万，日活130万，8月留存58%。每天老师布置作业和学生的自主练习的题目超过6千万道，其中自主练习占75%。月收入增长率达30%以上。 ,  , 作业盒子已是国内最活跃的最高质量的K12在线教育产品，每天新增答题数据6000万道，已累计100亿条答题数据。其中小学数学科目用户使用率在同类行业中排名第一。APP store同类app下载排名前五。 ,  ,  , , ,  , 【通关计划】作业盒子CEO刘夜：教育中最大的不公平，是兴趣的不公平 , , ,  , 作业盒子刘夜：在线教育K12领域的竞争是场景的竞争 , , ,  , 作业盒子CEO刘夜：永不停歇的世界 , , , -- ,  , ",1494586904,"发信人: Knowbox09 (作业盒子), 信区: Intern ", 标  题: 【实习】【作业盒子】产品实习生 
"发信人: a920225 (a920225), 信区: Intern , 标  题: 网上兼职是真的吗？正规的网络兼职有哪些？小编分享 , 发信站: 水木社区 (Fri May 12 19:07:01 2017), 站内 ,  , 网 络淘 宝刷 单兼 职是真是假?有人做过吗?？我做这网上兼 职工作已经有2年了，我是位全职妈妈，在家带孩子顺便做这个网上兼 职，刚天始是趁孩子睡觉时间做做，一般一天四五十，现在孩子上幼儿园了，时间比较多，相对来说就赚的多些，现在每天大概100左右，佣 金当晚打到支 付宝上。网上淘 宝兼 职也就是用空余时间做做，打发打发时间，挣点小钱。网上淘 宝兼 职要是像网上广告说轻松日赚几百的，请直接找骗子，钱有这么好赚的话，那我们还上什么班呢？所以呀，朋友们及和我一样在家带孩子的妈妈们，过于容易赚到的钱，基本上是假的，一份耕耘一份收获，网 赚还得付出相应的劳动，脚踏实地才是王道~~~要努力才有结果嘛！  ,    , 正规兼职咨询威信：1066339429  扣扣同号 认准盼盼 , 我们是正规网上淘 宝兼 职平台，是在IS语音频道的专业刷 誉团队，专业为淘 宝天 猫等商 家代 刷 信  誉，专业为有空闲时间的朋友提供网 上 兼 职 赚 钱 日结的工作岗位，有空闲时间，想在网 上 做 兼 职工作的朋友可以来工会咨询。我们平台任务多，9-23点无限放单，8-23点随时可以做任务，会网 购就行，给淘 宝京 东商 城和天 猫商 家刷 信 誉，加入我们公会后，管理指定你拍下一件宝贝，拍下商品后我们管理会给你发与商品价格等额的红 包，用你领取的红包支 付，而你自己的一分钱都不需要用到，把已付 款截图给管理，管理看到后，用支 付宝转佣 金给你，刷一单佣金3-15元左右，多劳多得，工资是日结的，时间自由安排。  ,    , 注意事项：  , 1、本平台专门为淘 宝商 家提供服务。只要你能上网，就可以在业余时间赚 钱。  , 2、工作地点无限制，在家里、单位、宿舍、均可，自己安排。  , 3、上班时间根据任务时间自己安排！  , 4、佣 金日结。每单任务在3-20元佣 金，多做多得！(网上说做一单十几甚至几十的肯定是骗子,)  , 5、自备工具：淘 宝账号、支 付宝（需实名认证！用来收取佣金）、is语音(用来接受任务)  , 6、本平台不需要你投入资金，任务资金都是平台垫付。  , 7、会淘 宝购物者优先，会使用is语音着优先。  , 8 采取红 包支 付.你不用垫 付一分钱!!无风险!  ,    , 以下为朋友们主要关心的几个问题，我将一一解答  , Q：一天能赚多少钱？一单佣 金多少？  , A：我不能也不敢保证你能赚多少钱，我只能这么告诉你，一个支付宝可以关联5个淘 宝账号，一个淘 宝账号一天可以做3-4单。也就是说，你要是有一个支付宝就可以注册5个淘 宝账号，一天最多就可以做15-20单，你要是有两个支 付宝（都要实名认证的）一天就可以做30-40单。但这只是理论上，到底能做几单看你自己！！入会后我们会教你如何注册小号并关联账号，这个不必担心！  ,  佣 金多少是根据所拍商品价格而定，一单佣 金一般在3-10元。当然也有超过10元的单，但较少。想每一单都十几几十就请去找骗子！想一天轻松赚几百的也请找骗子去！  , Q：红 包是什么？怎么领取红 包？  , A：红 包就是我们发给你用来购 买商品的，即我们给你钱，你用我们给的钱付款！  ,  加入公会后，培训会教你如何领取红 包。  , Q：怎么拍 单？流程是怎样的？  , A：真实网 购流程，就是你平常在淘 宝怎么买东西就怎么做，其中在你做任务时会有主持提醒该怎么做，你按照他说的一步步来。整个流程大概如下：接下任务——找到店 铺，浏览商 品等——拍下宝贝——领取红 包后付 款——领取佣 金。加入后会给你培训，具体细节自会了解！  ,  我们不会给你个链 接让你去拍的（骗子才这样）！我们都是提供店 铺和宝贝信息让你去淘 宝官方网址拍！所以不用担心钓鱼网站的问题！  , Q：怎么领佣 金？  , A：支 付宝收款，佣 金一单一收，佣 金日结。  ,  培训时也会教你的！  ,  除了拍 单你还可以做以下工作，接待新人，培训新人，推广新人，做主持人指挥会员拍 单，如果你工作能力强，还可晋升管理，这些都是有佣 金的。  , Q:为什么要交入会费？  , A:加入公会是要交入会费的，一次交费，终生会员。无论哪家正规兼 职平台，都是要交的，只不过有交的多的有交的少的，交的少的都是新公会，任务少，没得做。会费主要用于接待讲解、培训新人，推广新人、管理员的工资等，剩余部分作为基金，赔偿商 家损失，读到这里，你会问，怎么还赔偿商 家损失？我来告诉你，淘 宝有好 评师，也有差 评师比如，如果有会员给商家恶 意差 评，商家轻则降 权，重则封 店，是不是工会要赔偿人家？再者，会员交了会费，就不敢在工会给商家恶 意差 评，如果他给商 家差 评，他会被工会踢出去，那他就没得做了，他再要加入别的工会，还得交入会费，所以入会费也起到保证金的作用。  ,  我们正规的代 刷 平 台是采取 红 包 付 款的，就是我们会给你发与商品价格等额的红 包，你领取红 包后再用红 包支付，而你自己的一分钱都不需要用到！  ,  是不需要咱们本身垫 付的，采用的都是红 包做 单，佣 金一单一结，一单也就是3-15块，虽然赚的不多，起码是平安的，零 花钱也是够的。  ,    , 正规兼职咨询威信：1066339429  扣扣同号 认准盼盼 , -- ,  , ",1494587221,"发信人: a920225 (a920225), 信区: Intern ", 标  题: 网上兼职是真的吗？正规的网络兼职有哪些？小编分享 
"发信人: N95 (兴，百姓苦；亡，百姓苦), 信区: Intern , 标  题: 水木社区Intern版治版方针 , 发信站: 水木社区 (Wed Jul 13 15:07:51 2005), 站内 ,  , 一、本版宗旨 ,         Intern版的开设是为了给网友提供实习工作的相关信息。 ,  , 二、版面内容 ,        [1]本版可以讨论的内容： ,             1、提供实习工作机会； ,             2、实习求职技巧、经验等； ,             3、实习中的体会、心得、经验、教训； ,             4、其他与本版有关内容。 ,        [2]本版不讨论的内容： ,             1、非实习招聘性质的各种兼职、全职信息； ,             2、其他与本版无关的内容。 ,  , 三、版面管理 ,        [1]发文原则： ,             1、发布招聘信息必须遵守以下原则： ,                1)发文格式推荐为：【招聘】***** ； ,                2)必须写明详细招聘内容及联系方式； ,                3)如另有特殊要求也请一并注明。 ,             2、发布投诉信息必须遵守以下原则： ,                1)详细说明事情的经过及当事人； ,                2)公布到版面上进行投诉； ,                3)需要在版面文章中公布网友姓名的，请事先和版主联系； ,                4)严禁造谣、诽谤； ,                5)严禁人身攻击、使用不雅文字。 ,             3、在本版进行的相关讨论必须遵守以下原则： ,                1)严禁恶意的实习招聘的行为， 一经发现将严厉惩处； ,                2)对已发布的信息的修改或补充请修改原文，不要另外重复发文； ,                3)建议大家尽量直接联系，避免聊天式回文。 ,             4、本版不欢迎使用过激言词或指名道姓批评人，以免引起不必要的麻烦。 ,             5、本版不欢迎用民工字样形容报酬，如果觉得报酬不合理请提出合理建议。 ,             6、严禁发布虚假信息。 ,             7、严禁长期反复发布内容类似的广告。 ,        [2]删文原则： ,             1、内容不详细的招聘广告。 ,             2、版主认定为恶意招聘的文章。 ,             3、版主认定为无事实根据的虚假投诉。 ,             4、短期内重复发表的文章。 ,             5、长期反复发布的内容类似的文章。 ,             6、与本版无关的文章。 ,             7、违反水木社区站规的文章。 ,        [3]封禁原则： ,             1、版主认定为恶意招聘的文章。 ,             2、使用过激言词或者指名道姓批评网友而事先未获版主许可的文章。 ,             3、版主认定为虚假招聘的。 ,             4、短期内重复发文（相同或相近主题）的，按程度轻重予以封禁处罚。 ,             5、版主认定为长期反复发布内容类似的文章的，严惩所有参与id。 ,             6、与本版无关的文章。 ,             7、违反站规的文章，依据站规进行处理。 ,  , 四、文摘/精华区管理 ,        [1]文摘区管理 ,              版主会及时将近期发布的实习信息收入文摘区，原则如下： ,                 1)提供的实习岗位信息用g标志，ctrl+g,1查看； ,                 2)其他有价值信息或者文章用m,g或者m+g标志； ,                 3)版主会及时更新文摘区； ,                 4)对于信息严重不全的不予标记； ,        [2]精华区管理 ,              版主会及时收录有价值的文章进入精华区，原则如下： ,                 1)涉及版务公告的信息； ,                 2)实习方面的常识、经验等； ,                 3)其他版主认为有必要收入的信息； ,  ,  , 五、其他未尽事宜 ,         [1]特别提醒 ,                1)找实习一定要小心，尽量做到法律手续齐全，以利于保护自身利益。 ,                2)合作双方遵循自愿原则，讲究诚信，切忌反复无常。 ,  , 六、本版规最终解释权归属本版版务组及水木社区站务委员会。 ,  ,  , -- ,                        ",1121238471,"发信人: N95 (兴，百姓苦；亡，百姓苦), 信区: Intern ", 标  题: 水木社区Intern版治版方针 
"发信人: toutiao (今日头条招聘), 信区: Intern , 标  题: 【实习】【今日头条】测试开发实习生 , 发信站: 水木社区 (Fri May 12 18:22:23 2017), 站内 ,  , 工作内容： ,  , 参与头条产品的研发与测试过程：产品需求、功能设计，产品可测性设计与反馈， , 系统测试，性能测试，产品效果评估评测试等多方面，致力于产品的技术可靠性和用户体验 。 ,  , 任职要求： ,  , 1.计算机相关专业大三或研一、研二在读学生，也接受应届毕业生扎实的计算机基础，较强的算法能力 ,  , 2.有移动互联网测试经验，有自动化或白盒测试经验优先考虑 ,  , 3.热爱互联网，对互联网相关业务或技术充满好奇及热情  ,  , 4.快速的产品及业务学习能力，敏捷而周到的逻辑思维能力  ,  , 公司福利和实习薪酬： ,  , 免费三餐+下午茶+租房补贴+免费健身+转正机会+大牛mentor ,  , 实习薪资：200-300/天 ,  , 公司地点： ,  , 北京海淀区北三环西路43号中航广场 ,  , 邮件以【姓名-测试开发实习生-每周实习几天—可以实习几个月】为标题，发至 ttjobs@bytedance.com ,  , 关于我们： ,  北京字节跳动科技有限公司（Bytedance Ltd.）创立于2012年3月，旗下产品Web网站www.toutiao.com，客户端今日头条、内涵段子、内涵社区等。公司目前已完成C轮融资。截至2016年2月，“今日头条”已经在为将近4亿的忠诚用户服务，每天有超过4000万的用户在头条上找到让他们了解世界、启发思考、开怀一笑的信息，并活跃地参与互动。 , “你关注的，才是头条” ———What We Do  , “今日头条”客户端是一款依靠强大机器跟算法支撑的，基于大数据挖掘的推荐引擎产品。 系统会采集海量的信息，通过数据挖掘，智能分析出每时每刻最热门最值得用户关注的资讯；同时，推荐引擎会对用户浏览、收藏、转发、评论新闻资讯的行为不断进行智能分析，再结合用户的阅读习惯、阅读时间、阅读位置、社交网络等多个维度，建立起个人用户模型，两者结合，为用户推荐个性化的信息。最后呈现一千个人眼前会有一千个“今日头条”的效果。我们要做的就是比你更懂你。  ,  ,  这么好的实习机会你还等什么，快点加入我们今日头条吧！ ,  ,  , -- ,  , ",1494584543,"发信人: toutiao (今日头条招聘), 信区: Intern ", 标  题: 【实习】【今日头条】测试开发实习生 
"发信人: toutiao (今日头条招聘), 信区: Intern , 标  题: 【实习】【今日头条】前端开发实习生 , 发信站: 水木社区 (Fri May 12 18:21:13 2017), 站内 ,  , 岗位职责： , 今日头条相关产品的前端开发 ,  , 岗位要求： , 1.熟悉WEB前端技术,对符合WEB标准的网站重构有丰富经验,有成功作品  , 2.理解并掌握Javascript语言核心技术DOM、BOM、Ajax、JSON等，对Javascript框架应用(如jQuery/bootstrap等)有一定的经验 , 3.熟悉Python/Django优先  , 4.对CSS/Javascript性能优化、解决多浏览器兼容性问题有一定的经验  , 5.对用户体验、交互操作流程、及用户需求有一定了解  , 6.具备良好的服务意识、责任心、较强的学习能力、优秀的团队沟通与协作能力 , 7.本科大三、大四或者研二的学生，每周工作至少4天，实习时间3-6个月 ,  , 免费三餐+下午茶+租房补贴+免费健身+转正机会+大牛mentor , 实习薪资：200-300/天 , 公司地点： , 北京海淀区北三环西路43号中航广场         , 邮件以【姓名-web前端开发实习生-每周实习几天—可以实习几个月】标题，发至ttjobs@bytedance.com ,  , 关于我们： ,  北京字节跳动科技有限公司（Bytedance Ltd.）创立于2012年3月，旗下产品Web网站www.toutiao.com，客户端今日头条、内涵段子、内涵社区等。公司目前已完成C轮融资。截至2016年2月，“今日头条”已经在为将近4亿的忠诚用户服务，每天有超过4000万的用户在头条上找到让他们了解世界、启发思考、开怀一笑的信息，并活跃地参与互动。 , “你关注的，才是头条” ———What We Do  , “今日头条”客户端是一款依靠强大机器跟算法支撑的，基于大数据挖掘的推荐引擎产品。 系统会采集海量的信息，通过数据挖掘，智能分析出每时每刻最热门最值得用户关注的资讯；同时，推荐引擎会对用户浏览、收藏、转发、评论新闻资讯的行为不断进行智能分析，再结合用户的阅读习惯、阅读时间、阅读位置、社交网络等多个维度，建立起个人用户模型，两者结合，为用户推荐个性化的信息。最后呈现一千个人眼前会有一千个“今日头条”的效果。我们要做的就是比你更懂你。  ,  ,  这么好的实习机会你还等什么，快点加入我们今日头条吧！ ,  ,  , -- ,  , ",1494584473,"发信人: toutiao (今日头条招聘), 信区: Intern ", 标  题: 【实习】【今日头条】前端开发实习生 
"发信人: toutiao (今日头条招聘), 信区: Intern , 标  题: 【实习】【今日头条】技术知识库实习工程师 , 发信站: 水木社区 (Fri May 12 18:20:26 2017), 站内 ,  , 工作内容： , 1. 公司技术氛围建设 , 2. 公司技术博客和部门wiki体系的丰富和完善 , 3. 技术文档有效整理和分类 ,  , 任职要求： , 1. 出色的主动沟通、表达和组织能力，愿意跟工程师交流 , 2. 较强的文字表达能力 , 3. 具有责任心和一定的创新能力 , 4. 工作时间每周不少于三天，实习时间3个月以上 , 5. 能看懂技术文章优先 , 6. 计算机及相关专业优先 ,  , 公司福利和实习薪酬：  , 免费三餐+下午茶+租房补贴+免费健身+转正机会+大牛mentor  , 每周工作至少4天，实习时间3-6个月  , 实习薪资：200-300/天  , 公司地点：  , 北京海淀区北三环西路43号中航广场    , 邮件以【姓名-技术知识库实习工程师-每周实习几天—可以实习几个月】为标题，发至 ttjobs@bytedance.com  ,  , 关于我们： ,  北京字节跳动科技有限公司（Bytedance Ltd.）创立于2012年3月，旗下产品Web网站www.toutiao.com，客户端今日头条、内涵段子、内涵社区等。公司目前已完成C轮融资。截至2016年2月，“今日头条”已经在为将近4亿的忠诚用户服务，每天有超过4000万的用户在头条上找到让他们了解世界、启发思考、开怀一笑的信息，并活跃地参与互动。 , “你关注的，才是头条” ———What We Do  , “今日头条”客户端是一款依靠强大机器跟算法支撑的，基于大数据挖掘的推荐引擎产品。 系统会采集海量的信息，通过数据挖掘，智能分析出每时每刻最热门最值得用户关注的资讯；同时，推荐引擎会对用户浏览、收藏、转发、评论新闻资讯的行为不断进行智能分析，再结合用户的阅读习惯、阅读时间、阅读位置、社交网络等多个维度，建立起个人用户模型，两者结合，为用户推荐个性化的信息。最后呈现一千个人眼前会有一千个“今日头条”的效果。我们要做的就是比你更懂你。  ,  ,  这么好的实习机会你还等什么，快点加入我们今日头条吧！ ,  ,  , -- ,  , ",1494584426,"发信人: toutiao (今日头条招聘), 信区: Intern ", 标  题: 【实习】【今日头条】技术知识库实习工程师 
"发信人: toutiao (今日头条招聘), 信区: Intern , 标  题: 【实习】【今日头条】后台开发实习生 , 发信站: 水木社区 (Fri May 12 18:19:45 2017), 站内 ,  , 工作职责： , 今日头条相关产品后台开发 ,  , 职位要求： , 1.计算机相关专业大三或研一、研二在读学生，扎实的计算机基础，较强的算法能力 , 2.熟悉PHP的开发工作，熟练把握LAMP开发 , 3.熟悉MYSQL数据库并有相关关系数据库设计经验 , 4.有一定的项目开发经验和软件工程意识 , 5.使用过一个或者多少php开发框架 , 6.有WEB应用开发的背景经验优先 , 7.有大访问量网站建设或数据库建设经验优先 , 8.每周实习3天以上，可连续实习3个月 ,  , 公司福利和实习薪酬： , 免费三餐+下午茶+租房补贴+免费健身+转正机会+大牛mentor , 每周工作至少4天，实习时间3-6个月 , 实习薪资：200-300/天 , 公司地点： , 北京海淀区北三环西路43号中航广场   , 邮件以【姓名-web后台开发实习生-每周实习几天—可以实习几个月】为标题，发至 ttjobs@bytedance.com ,  , 关于我们： ,  北京字节跳动科技有限公司（Bytedance Ltd.）创立于2012年3月，旗下产品Web网站www.toutiao.com，客户端今日头条、内涵段子、内涵社区等。公司目前已完成C轮融资。截至2016年2月，“今日头条”已经在为将近4亿的忠诚用户服务，每天有超过4000万的用户在头条上找到让他们了解世界、启发思考、开怀一笑的信息，并活跃地参与互动。 , “你关注的，才是头条” ———What We Do  , “今日头条”客户端是一款依靠强大机器跟算法支撑的，基于大数据挖掘的推荐引擎产品。 系统会采集海量的信息，通过数据挖掘，智能分析出每时每刻最热门最值得用户关注的资讯；同时，推荐引擎会对用户浏览、收藏、转发、评论新闻资讯的行为不断进行智能分析，再结合用户的阅读习惯、阅读时间、阅读位置、社交网络等多个维度，建立起个人用户模型，两者结合，为用户推荐个性化的信息。最后呈现一千个人眼前会有一千个“今日头条”的效果。我们要做的就是比你更懂你。  ,  ,  这么好的实习机会你还等什么，快点加入我们今日头条吧！ ,  ,  , -- ,  , ",1494584385,"发信人: toutiao (今日头条招聘), 信区: Intern ", 标  题: 【实习】【今日头条】后台开发实习生 
"发信人: alibaba01 (alibaba), 信区: Intern , 标  题: 【阿里巴巴-高德】校招实习-平台型产品经理(技术领域) , 发信站: 水木社区 (Fri May 12 17:31:22 2017), 站内 ,  , 岗位描述： , 我们需要你，作为产品的设计师，从底层系统的API，到用户可见的软件功能； , 我们需要你，作为用户的代言人，从最不起眼的产品缺陷，到影响用户业务生命线的系统可用性短板，你敏锐的嗅觉和一切以客户利益为出发点的初心将是产品持续优化的源动力； , 我们需要你，作为团队的中场发动机，你需要协同开发、测试、运维、运营、业务的小伙伴们为同一个目标努力； , 我们需要你的技术背景，一起改变产品世界！ , 岗位要求： , 我们希望你会写代码，有热情做产品， , 我们希望你懂开发，也能自己动手做过小应用（如网站、手机App）， , 如果你，能面对攻击和挑战，可以高情商面对，有很好的抗压能力， , 如果你，很喜欢跟人搭档一起工作，有很强的协同能力，喜欢研究和探索， , 如果你，有很强的逻辑分析和决断力，有很好的项目管理能力。那便是太好了！ , 在这里，你可以与最优秀的工程师合作，把最牛逼的技术变成最受欢迎的产品！ ,  , 办公地点：望京首开广场 ,  , 平台大，待遇好，基本薪资+每日餐补 ,  , 简历投递邮箱：wb-dxl278237@alibaba-inc.com ,  , -- ,  , ",1494581482,"发信人: alibaba01 (alibaba), 信区: Intern ", 标  题: 【阿里巴巴-高德】校招实习-平台型产品经理(技术领域) 
"发信人: autohome (汽车之家招聘), 信区: Intern , 标  题: 【实习】【汽车之家】商业产品运营 , 发信站: 水木社区 (Thu May 11 09:53:12 2017), 站内 ,  , 职位描述： ,  , 工作职责： ,  , -负责面向汽车用户的社交类商业产品的运营，实现产品的用户价值 ,  , -深入理解用户需求，找到产品运营思路，提升用户活跃度，并更好的满足用户需求 ,  , -在实际运营中发现问题，提出新的产品运营思路 ,  , -与项目团队紧密配合，达成产品运营目标  ,  , 职位要求： ,  , -本科（含）以上 ，每周至少实习4天，实习期在4个月以上 ,  , -熟悉互联网行业,对面向用户的社交类产品有基本的理解和认识，有一定的行业视野面 ,  , -热爱汽车行业，有用车经验的优先 ,  , -较强责任心的执行力，能够在明确目标以后，完成具体的落地执行，为项目负责到底 ,  , -实习期薪资水平100-150元/天，18年及以后毕业的小伙伴优先。 ,  , 职位诱惑： , 福利待遇好 零食水果饮料不限  ,  , 快来加入吧，简历投递： , liuhuihui@autohome.com.cn ,  , -- ,  , ",1494467592,"发信人: autohome (汽车之家招聘), 信区: Intern ", 标  题: 【实习】【汽车之家】商业产品运营 
