movie_name,score_num,ranking,score
肖申克的救赎,819971,1,9.6
这个杀手不太冷,787040,2,9.4
霸王别姬,584924,3,9.5
阿甘正传,675343,4,9.4
美丽人生,391529,5,9.5
千与千寻,627081,6,9.2
辛德勒的名单,362568,7,9.4
泰坦尼克号,621400,8,9.2
盗梦空间,729322,9,9.2
机器人总动员,478987,10,9.3
海上钢琴师,574673,11,9.2
三傻大闹宝莱坞,634736,12,9.1
忠犬八公的故事,427354,13,9.2
放牛班的春天,430287,14,9.2
大话西游之大圣娶亲,462219,15,9.2
教父,328105,16,9.2
龙猫,399010,17,9.1
楚门的世界,425579,18,9.0
乱世佳人,260053,19,9.2
天堂电影院,297063,20,9.1
当幸福来敲门,515190,21,8.9
触不可及,348562,22,9.1
搏击俱乐部,389918,23,9.0
十二怒汉,161967,24,9.3
无间道,377186,25,9.0
指环王3：王者无敌,273412,26,9.1
熔炉,227996,27,9.2
怦然心动,513491,28,8.9
天空之城,316310,29,9.0
罗马假日,369142,30,8.9
少年派的奇幻漂流,555778,31,9.0
大话西游之月光宝盒,375961,32,8.9
鬼子来了,214610,33,9.1
蝙蝠侠：黑暗骑士,299664,34,9.0
星际穿越,455518,35,9.1
两杆大烟枪,262099,36,9.0
飞屋环游记,478092,37,8.9
活着,248535,38,9.0
飞越疯人院,265778,39,9.0
窃听风暴,209765,40,9.1
海豚湾,175434,41,9.3
闻香识女人,305256,42,8.9
V字仇杀队,391460,43,8.8
美丽心灵,290694,44,8.9
教父2,176939,45,9.1
哈尔的移动城堡,327655,46,8.8
指环王2：双塔奇兵,258378,47,8.9
指环王1：魔戒再现,288176,48,8.9
天使爱美丽,461107,49,8.7
情书,353700,50,8.8
死亡诗社,260458,51,8.9
美国往事,164957,52,9.1
七宗罪,415351,53,8.7
钢琴家,192543,54,9.0
狮子王,266804,55,8.9
被嫌弃的松子的一生,259602,56,8.9
致命魔术,320664,57,8.8
辩护人,183269,58,9.1
勇敢的心,283534,59,8.8
控方证人,72957,60,9.6
剪刀手爱德华,459808,61,8.7
小鞋子,127075,62,9.2
饮食男女,176161,63,9.0
音乐之声,220318,64,8.9
低俗小说,312563,65,8.7
入殓师,304424,66,8.8
本杰明·巴顿奇事,372860,67,8.7
沉默的羔羊,331084,68,8.7
蝴蝶效应,360463,69,8.7
黑客帝国,262588,70,8.8
拯救大兵瑞恩,220745,71,8.8
玛丽和马克思,223761,72,8.9
西西里的美丽传说,320629,73,8.7
素媛,158432,74,9.1
心灵捕手,252011,75,8.7
幽灵公主,220301,76,8.8
第六感,218785,77,8.8
阳光灿烂的日子,253398,78,8.7
让子弹飞,590042,79,8.7
春光乍泄,225425,80,8.8
大鱼,235809,81,8.7
大闹天宫,89908,82,9.2
射雕英雄传之东成西就,258108,83,8.7
重庆森林,303255,84,8.6
阳光姐妹淘,251094,85,8.8
上帝之城,149538,86,8.9
甜蜜蜜,218509,87,8.7
禁闭岛,332865,88,8.6
致命ID,294601,89,8.6
告白,317946,90,8.6
一一,143289,91,8.9
加勒比海盗,311539,92,8.6
爱在黎明破晓前,203273,93,8.7
狩猎,111753,94,9.0
布达佩斯大饭店,281977,95,8.7
阿凡达,498993,96,8.6
断背山,297964,97,8.6
风之谷,164449,98,8.8
萤火虫之墓,190960,99,8.7
摩登时代,79718,100,9.2
爱在日落黄昏时,185587,101,8.7
猫鼠游戏,201100,102,8.7
侧耳倾听,154809,103,8.8
末代皇帝,146803,104,8.8
驯龙高手,266066,105,8.7
哈利·波特与魔法石,228176,106,8.6
超脱,158930,107,8.7
疯狂动物城,453038,108,9.2
海洋,94718,109,9.0
幸福终点站,212882,110,8.6
穿条纹睡衣的男孩,126457,111,8.8
燃情岁月,141909,112,8.8
菊次郎的夏天,164538,113,8.7
倩女幽魂,227525,114,8.6
消失的爱人,321605,115,8.7
神偷奶爸,343940,116,8.5
电锯惊魂,185333,117,8.6
谍影重重3,168693,118,8.7
真爱至上,291405,119,8.5
岁月神偷,288309,120,8.6
借东西的小人阿莉埃蒂,200952,121,8.7
雨人,197517,122,8.6
虎口脱险,100682,123,8.9
七武士,69704,124,9.1
恐怖直播,193582,125,8.7
贫民窟的百万富翁,375225,126,8.5
东邪西毒,232996,127,8.6
记忆碎片,257638,128,8.5
疯狂原始人,347881,129,8.7
杀人回忆,189798,130,8.6
怪兽电力公司,220027,131,8.6
红辣椒,114881,132,8.8
卢旺达饭店,109160,133,8.8
穿越时空的少女,172542,134,8.6
黑天鹅,389378,135,8.5
魂断蓝桥,121800,136,8.8
恋恋笔记本,258540,137,8.5
猜火车,228481,138,8.5
喜宴,124289,139,8.8
英雄本色,135567,140,8.7
傲慢与偏见,277326,141,8.4
雨中曲,86600,142,8.9
教父3,119090,143,8.7
小森林 夏秋篇,109970,144,8.9
完美的世界,72294,145,9.0
喜剧之王,278332,146,8.4
纵横四海,129904,147,8.7
玩具总动员3,181084,148,8.7
萤火之森,140492,149,8.7
人工智能,176660,150,8.6
我是山姆,92954,151,8.8
香水,255590,152,8.4
浪潮,119410,153,8.7
冰川时代,251080,154,8.4
7号房的礼物,154330,155,8.7
撞车,163019,156,8.6
哈利·波特与死亡圣器(下),252290,157,8.6
花样年华,223316,158,8.4
朗读者,262038,159,8.5
追随,72336,160,9.0
一次别离,121661,161,8.7
碧海蓝天,102911,162,8.7
秒速5厘米,268302,163,8.4
罗生门,111741,164,8.7
梦之安魂曲,101972,165,8.7
战争之王,161841,166,8.5
可可西里,118878,167,8.6
心迷宫,137390,168,8.6
唐伯虎点秋香,287392,169,8.3
超能陆战队,334526,170,8.6
时空恋旅人,174883,171,8.6
海盗电台,157066,172,8.6
谍影重重2,146578,173,8.5
谍影重重,177145,174,8.5
蝙蝠侠：黑暗骑士崛起,270659,175,8.5
阿飞正传,162251,176,8.5
荒蛮故事,112959,177,8.7
地球上的星星,72612,178,8.8
小森林 冬春篇,94949,179,8.9
迁徙的鸟,49095,180,9.1
荒野生存,117989,181,8.6
恐怖游轮,283487,182,8.3
绿里奇迹,97444,183,8.7
勇闯夺命岛,131587,184,8.5
惊魂记,73983,185,8.8
达拉斯买家俱乐部,152180,186,8.6
魔女宅急便,175623,187,8.4
再次出发之纽约遇见你,148134,188,8.5
卡萨布兰卡,114681,189,8.6
爆裂鼓手,211119,190,8.6
燕尾蝶,102071,191,8.6
未麻的部屋,80778,192,8.8
东京物语,45073,193,9.2
牯岭街少年杀人事件,93462,194,8.7
这个男人来自地球,160070,195,8.5
英国病人,163654,196,8.4
变脸,198412,197,8.4
被解救的姜戈,239598,198,8.5
终结者2：审判日,129497,199,8.5
末路狂花,94110,200,8.7
E.T. 外星人,140017,201,8.5
叫我第一名,100318,202,8.6
忠犬八公物语,49431,203,9.0
哪吒闹海,71567,204,8.8
发条橙,171644,205,8.4
青蛇,198108,206,8.4
穆赫兰道,214073,207,8.3
源代码,377327,208,8.3
新龙门客栈,166326,209,8.4
黑客帝国3：矩阵革命,140468,210,8.5
黄金三镖客,45930,211,9.1
非常嫌疑犯,105616,212,8.6
美国丽人,169521,213,8.4
上帝也疯狂,88573,214,8.6
城市之光,38110,215,9.2
